model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcTargetInventoryLevelEndForN1Release,3167,5952
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasChildren,242,195
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitAvailabilities,453,390
supplychain-planner,性能测试1/3,ProductRouting,calcBomVer,9482,1979
supplychain-planner,性能测试1/3,PeriodDefinition,calcFirstPeriod,9,2
supplychain-planner,性能测试1/3,GlobalParameter,calcDefaultInventoryLadderCoef,12,1
supplychain-planner,性能测试1/3,SupplyChainUnit,calcIsUnitIdBlank,113,195
supplychain-planner,性能测试1/3,PlanOrder,calcToPISP,19601,13853
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcFulfilledDependentDemandInfo,10153,23808
supplychain-planner,性能测试1/3,Period,calcProductionPlanOrders,19834172,6922
supplychain-planner,性能测试1/3,PeriodTask,calcUnitIdOfProductRouting,6007,7912
supplychain-planner,性能测试1/3,PlanOrderStep,calcOutPispip,21359,13853
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcHasChildren,16906,41664
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUsedCapacity,1709,1598
supplychain-planner,性能测试1/3,ProductRoutingStepOnUnit,calcPeriodTasks,11929,3958
supplychain-planner,性能测试1/3,PlanOrder,calcToSP,20880,13853
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcDetectionStatus,11399,5952
supplychain-planner,性能测试1/3,DependentDemand,calcInventoryInfo,3376,7896
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcInnerNewSupplyQuantity,6594,23808
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcFulfilledDemandQuantity,14235,41664
supplychain-planner,性能测试1/3,PlanOrder,calcFrozenQuantity,5684,13853
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcScheduleSpan,535,3
supplychain-planner,性能测试1/3,Product,calcStatisticStockingPoints,859,1989
