model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,UnitPeriodTime,calcVariableCostPerHour,281,1520
supplychain-planner,性能测试1/3,SupplyChainUnit,calcSupplyChainId,320,195
supplychain-planner,性能测试1/3,SupplyChain,calcProductionRoutings,12,6
supplychain-planner,性能测试1/3,Product,calcMaterialShortageTime,2,5
supplychain-planner,性能测试1/3,BusinessKPI,calcSupplyChainUnits,1230,101
supplychain-planner,性能测试1/3,UnitPeriodTime,calcNrOfOpen,2626,1632
supplychain-planner,性能测试1/3,SupplyChainUnit,calcProductRoutings,68,195
supplychain-planner,性能测试1/3,SupplyChainUnit,calcMaximumLoadPercentage,92,195
supplychain-planner,性能测试1/3,SupplyChain,calcLevel,9,6
supplychain-planner,性能测试1/3,Period,calcDuration,13,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitOfMeasure,158,195
supplychain-planner,性能测试1/3,Period,calcNextPeriodDefinition,6,8
supplychain-planner,性能测试1/3,StockingPoint,createStockingPointInPeriod,2,8
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN2,4,5
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN1,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMaximumLoadPercentage,44,72
supplychain-planner,性能测试1/3,Product,calcPurchaseRequests,5,5
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN3,4,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcCapacityFactor,51,40
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitCapacities,197,390
supplychain-planner,性能测试1/3,Product,calcProductLevelNode,11,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUserMaximumLoadPercentage,86,195
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitPeriodInOwner,3206,1520
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcTotalNrOfPeriods,12,1
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitCapacitiesOnOwner,85,72
supplychain-planner,性能测试1/3,Period,calcFulfillmentRatio,7,8
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemands,10,5
supplychain-planner,性能测试1/3,Period,calcPostponedFulfillmentRatio,7,8
supplychain-planner,性能测试1/3,Period,calcSupplyChainUnitNode,201,16
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitGroupId,303,195
supplychain-planner,性能测试1/3,Product,calcPurchaseOrderQuantity,2,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitCapacity,78,72
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitCapacitiesOnOwner,374,1520
supplychain-planner,性能测试1/3,PeriodDefinitionSequence,calcEnd,51,3
supplychain-planner,性能测试1/3,Period,calcIsBeforeStartOfPlanningHorizon,11,8
supplychain-planner,性能测试1/3,Product,calcLevel,13,5
supplychain-planner,性能测试1/3,Product,calcProductInStockingPoints,5,5
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointInPeriods,9,8
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcLatestFrozenPeriodEnd,14,1
supplychain-planner,性能测试1/3,StockingPoint,calcSupplyChainName,7,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcHasPreviousAndBelongToSameShiftPattern,9,40
supplychain-planner,性能测试1/3,SupplyChain,calcProductionQuantity,9,6
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitId,108,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcTotalUnavailableCapacity,47,72
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMaxTotalProductCapacity,22,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcQuantityToProcess,8,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMinCapacity,111,1520
supplychain-planner,性能测试1/3,Period,calcMaxPostponeDate,12,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcCapacityLoadPercentage,357,2312
supplychain-planner,性能测试1/3,UnitPeriodTime,calcChildrenUnits,1137,1520
supplychain-planner,性能测试1/3,Product,calcBillOfMaterialsAsRM,14,5
supplychain-planner,性能测试1/3,Period,calcOnTimeFulfillmentQty,7,8
supplychain-planner,性能测试1/3,Product,calcHasBatchConstraint,6,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitCost,10,40
supplychain-planner,性能测试1/3,Period,calcNextPeriod,16,8
supplychain-planner,性能测试1/3,MonthlyPeriod,calcDuration,4,1
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcNrOfOpen,66,72
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcTotalMinCapacity,21,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcNext,58,40
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitPeriodTimes,895,390
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitAvailability,8,40
supplychain-planner,性能测试1/3,Product,calcProductInStockingPointInPeriods,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMaintenance,10,40
supplychain-planner,性能测试1/3,PeriodDefinition,calcTimeUnitLevel,3,1
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcChildrenUnitPeriods,10,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcChildrenUnitPeriods,1823,1520
supplychain-planner,性能测试1/3,SupplyChainUnit,calcOutputStockingPointUnits,122,195
supplychain-planner,性能测试1/3,Product,calcFrozenInventoryQuantity,1,5
supplychain-planner,性能测试1/3,PeriodDefinition,calcMaxReleasePeriodQty,3,1
supplychain-planner,性能测试1/3,SupplyChainUnit,calcPlantId,329,195
supplychain-planner,性能测试1/3,DailyPeriod,calcDuration,42,42
supplychain-planner,性能测试1/3,SupplyChainUnit,calcProductRoutingStepOnUnits,87,195
supplychain-planner,性能测试1/3,Product,calcProductionQuantity,9,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcPeriodTasks,18,40
supplychain-planner,性能测试1/3,Product,calcProductLevel,7,5
supplychain-planner,性能测试1/3,PeriodDefinitionSequence,calcPeriods,17,2
supplychain-planner,性能测试1/3,UnitPeriodTime,calcHasUnitCost,2014,1520
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcLatestFrozenPeriodStart,14,1
supplychain-planner,性能测试1/3,StockingPoint,calcOutputStockingPointUnits,18,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcVariableCostFactor,1937,1520
supplychain-planner,性能测试1/3,Product,calcMinInputQuantity,7,5
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN,5,5
supplychain-planner,性能测试1/3,Product,calcStatisticProductInStockingPoints,9,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcPrevious,2813,1520
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMaintenanceFactor,9,40
supplychain-planner,性能测试1/3,Period,calcScp,15,8
supplychain-planner,性能测试1/3,Period,calcPlanOrders,13,8
supplychain-planner,性能测试1/3,Product,calcValidCurrentInventories,3,5
supplychain-planner,性能测试1/3,Product,calcParent,8,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcCurrency,544,195
supplychain-planner,性能测试1/3,UnitPeriodTime,calcDuration,1204,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaintenance,396,1632
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN,2,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcMutexProductionsInPeriodForUnitB,71,195
supplychain-planner,性能测试1/3,SupplyChainUnit,calcMutexProductionsInPeriodForUnitA,72,195
supplychain-planner,性能测试1/3,Product,calcTotalAvailableInventoryQuantity,3,5
supplychain-planner,性能测试1/3,Product,calcGlobalParameter,9,5
supplychain-planner,性能测试1/3,StockingPoint,calcIsSemiFinishedProductStockingPoint,5,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcFreeCapacity,11,40
supplychain-planner,性能测试1/3,Period,calcRatioDays,12,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcMutexProductions,82,195
supplychain-planner,性能测试1/3,Period,calcEndDate,13,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcProductCapacityInUnits,177,195
supplychain-planner,性能测试1/3,Period,calcIsPeriodFrozen,11,8
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointCosts,9,8
supplychain-planner,性能测试1/3,Product,calcFrozenQuantity,6,5
supplychain-planner,性能测试1/3,Period,calcOnTimeFulfillmentRatio,5,8
