sceneId,className,methodName,sumDuration,times
10,ProductInStockingPointInPeriod,purchaseOrdersInDetectPisp,190,41706
10,ProductInStockingPointInPeriod,inventoryFlag,554,41706
10,UnitPeriodTime,hasChildren,6,1330
10,UnitPeriodInfinite,periodTasks,21,35
10,ProductInStockingPointInPeriod,hasChildren,146,41706
10,ProductInStockingPoint,allProductRoutings,24,5958
10,UnitPeriodInfinite,isRemainNormalCapacityZero,0,35
10,SupplyChainPlanner,pispMap,29,2
10,ProductRoutingStepOnUnit,productCycleTime,28,3963
10,UnitPeriodTime,isAvailableTotalCapacityZero,3,1330
10,PeriodTask,next,389,27741
10,ProductInStockingPoint,currentInventoryQuantity,25,5958
10,ProductRoutingStep,hasNoInputs,16,3963
10,UnitPeriodInfinite,end,0,35
10,StockingPoint,isSemiFinishedProductStockingPoint,0,8
10,UnitPeriodTime,extraCapacityDuration,51,1330
10,ProductRouting,hasNoSteps,14,3963
10,ProductRoutingStepOnUnit,isLead,16,3963
10,PeriodTask,totalQuantityOfSameStepInPeriod,277,27741
10,SupplyChainUnit,hasChildren,1,195
10,UnitPeriodTime,periodTasks,9,1330
10,PeriodTask,maxOrderQuantity,67,27741
10,UnitPeriodInfinite,capacityLoadPercentage,0,35
10,UnitPeriodInfinite,isPlannedInfinite,0,35
10,ProductInStockingPointInPeriod,productName,107,41706
10,SupplyChainPlanner,routingNrToRoutingStepFromPPMap,0,1
10,ProductInStockingPointInPeriod,targetInventoryLevel,383,41706
10,PeriodDefinitionSequence,start,0,1
10,InputOutputProduct,scp,437,6934
10,ProductInStockingPointInPeriod,newSupplyQuantity,441,41706
10,Period,periodDefinitionSequence,0,7
10,ProductInStockingPoint,productName,20,5958
10,Product,parentProduct,14258,1991
10,UnitPeriodTime,endDate,4,1330
10,PeriodTask,isUnitGroupAvailableCapacityZero,409,27741
10,ProductInStockingPointInPeriod,supplyChainPlanner,86,41706
10,ProductInStockingPointInPeriod,nowFulfilledDemandQuantityForOG,244,41706
10,SupplyChainPlanner,inputOutputProducts,2,2
10,ProductInStockingPointInPeriod,previous,251,41706
10,ProductRouting,asLeadPreviousStepInPeriodToPeriodTaskMap,56,3963
10,NewSupply,resourceFlag,92,27897
10,UnitPeriodInfinite,nrOfUnitsOpen,0,35
10,PeriodDefinition,firstPeriod,0,1
10,ProductRoutingStep,inputProducts,34,6934
10,NewSupply,productRouting,99,27897
10,ProductInStockingPoint,releasePISP,53,5958
